migration_entry_id	object_kind	old_id	new_id	old_path	new_path	disposition	formulation_changed	machine_semantics_changed	phase_changed	reference_changed	retest_scope
MIG-222-NORM-001	NORM	N-GEN-001	N-GEN-001	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-002	NORM	N-GEN-003	N-GEN-003	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-003	NORM	N-GEN-005	N-GEN-005	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-004	NORM	N-GEN-006	N-GEN-006	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-005	NORM	N-GEN-008	N-GEN-008	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-006	NORM	N-GEN-009	N-GEN-009	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-007	NORM	N-GEN-012	N-GEN-012	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-008	NORM	N-GEN-013	N-GEN-013	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-009	NORM	N-GEN-014	N-GEN-014	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-010	NORM	N-GEN-015	N-GEN-015	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-011	NORM	N-GEN-016	N-GEN-016	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-012	NORM	N-GEN-017	N-GEN-017	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-013	NORM	N-GEN-018	N-GEN-018	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-014	NORM	N-GEN-019	N-GEN-019	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-015	NORM	N-GEN-020	N-GEN-020	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-016	NORM	N-GEN-021	N-GEN-021	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-017	NORM	N-GEN-027	N-GEN-027	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-018	NORM	N-GEN-028	N-GEN-028	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-019	NORM	N-GEN-031	N-GEN-031	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-020	NORM	N-GEN-032	N-GEN-032	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-021	NORM	N-GEN-034	N-GEN-034	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-022	NORM	N-GEN-035	N-GEN-035	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-023	NORM	N-GEN-036	N-GEN-036	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
MIG-222-NORM-024	NORM	N-GEN-039	N-GEN-039	v2.21/assurance/NORM_CATALOG.tsv	v2.22/assurance/NORM_CATALOG.tsv	UPDATED	FALSE	TRUE	TRUE	TRUE	PHASE_APPLICABILITY; PDF_CARD; HASH_RECONSTRUCTION
