migration_entry_id	object_kind	old_id	new_id	old_path	new_path	disposition	formulation_changed	machine_semantics_changed	phase_changed	reference_changed	retest_scope
MIG-F-219-001	HISTORICAL_FINDING	F-219-001	F-219-001	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-001
MIG-F-219-002	HISTORICAL_FINDING	F-219-002	F-219-002	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-002
MIG-F-219-003	HISTORICAL_FINDING	F-219-003	F-219-003	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-003
MIG-F-219-004	HISTORICAL_FINDING	F-219-004	F-219-004	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-004
MIG-F-219-005	HISTORICAL_FINDING	F-219-005	F-219-005	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-005
MIG-F-219-006	HISTORICAL_FINDING	F-219-006	F-219-006	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-006
MIG-F-219-007	HISTORICAL_FINDING	F-219-007	F-219-007	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-007
MIG-F-219-008	HISTORICAL_FINDING	F-219-008	F-219-008	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-008
MIG-F-219-009	HISTORICAL_FINDING	F-219-009	F-219-009	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-009
MIG-F-219-010	HISTORICAL_FINDING	F-219-010	F-219-010	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-010
MIG-F-219-011	HISTORICAL_FINDING	F-219-011	F-219-011	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-011
MIG-F-219-012	HISTORICAL_FINDING	F-219-012	F-219-012	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-012
MIG-F-219-013	HISTORICAL_FINDING	F-219-013	F-219-013	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-013
MIG-F-219-014	HISTORICAL_FINDING	F-219-014	F-219-014	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-014
MIG-F-219-015	HISTORICAL_FINDING	F-219-015	F-219-015	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-015
MIG-F-219-016	HISTORICAL_FINDING	F-219-016	F-219-016	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-016
MIG-F-219-017	HISTORICAL_FINDING	F-219-017	F-219-017	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-017
MIG-F-219-018	HISTORICAL_FINDING	F-219-018	F-219-018	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-018
MIG-F-219-019	HISTORICAL_FINDING	F-219-019	F-219-019	repair/FINDINGS_v2.19.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-219-019
MIG-F-220-001	HISTORICAL_FINDING	F-220-001	F-220-001	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-001
MIG-F-220-002	HISTORICAL_FINDING	F-220-002	F-220-002	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-002
MIG-F-220-003	HISTORICAL_FINDING	F-220-003	F-220-003	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-003
MIG-F-220-004	HISTORICAL_FINDING	F-220-004	F-220-004	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-004
MIG-F-220-005	HISTORICAL_FINDING	F-220-005	F-220-005	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-005
MIG-F-220-006	HISTORICAL_FINDING	F-220-006	F-220-006	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-006
MIG-F-220-007	HISTORICAL_FINDING	F-220-007	F-220-007	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-007
MIG-F-220-008	HISTORICAL_FINDING	F-220-008	F-220-008	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-008
MIG-F-220-009	HISTORICAL_FINDING	F-220-009	F-220-009	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-009
MIG-F-220-010	HISTORICAL_FINDING	F-220-010	F-220-010	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-010
MIG-F-220-011	HISTORICAL_FINDING	F-220-011	F-220-011	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-011
MIG-F-220-012	HISTORICAL_FINDING	F-220-012	F-220-012	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-012
MIG-F-220-013	HISTORICAL_FINDING	F-220-013	F-220-013	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-013
MIG-F-220-014	HISTORICAL_FINDING	F-220-014	F-220-014	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-014
MIG-F-220-015	HISTORICAL_FINDING	F-220-015	F-220-015	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-015
MIG-F-220-016	HISTORICAL_FINDING	F-220-016	F-220-016	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-016
MIG-F-220-017	HISTORICAL_FINDING	F-220-017	F-220-017	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-017
MIG-F-220-018	HISTORICAL_FINDING	F-220-018	F-220-018	repair/FINDINGS_v2.20.tsv	repair/REPAIR_PLAN_v2.22.tsv	HISTORICAL_CLOSURE_IMPORTED	NO	NO	NO	YES	CHECK-F-220-018
