norm_id	required_phase	application_kind	trigger	reason	owner	review_status
N-GEN-001	C03	PHASE_SPECIFIC	"[""*""]"	N-GEN-001 (Distinction between object and representation) received rule-level semantic review for C03. The norm governs source, evidence, provenance, unknowns, or initial epistemic inventory.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-001	C05	PHASE_SPECIFIC	"[""*""]"	N-GEN-001 (Distinction between object and representation) received rule-level semantic review for C05. The norm governs protocol, route, planning, branching, invariants, or freeze-before-execution.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-001	C06	PHASE_SPECIFIC	"[""*""]"	N-GEN-001 (Distinction between object and representation) received rule-level semantic review for C06. The norm governs calculation, cognitive transformation, abstraction, concretization, or microphase integrity.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-001	C07	PHASE_SPECIFIC	"[""*""]"	N-GEN-001 (Distinction between object and representation) received rule-level semantic review for C07. The norm governs evidence assessment, research boundary, confidence, counterevidence, or epistemic status.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-001	C08	PHASE_SPECIFIC	"[""*""]"	N-GEN-001 (Distinction between object and representation) received rule-level semantic review for C08. The norm governs bounded result, representation, instruction, output, or concretization.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-002	C03	PHASE_SPECIFIC	"[""*""]"	N-GEN-002 (Inclusion and truth remain distinct) received rule-level semantic review for C03. The norm governs source, evidence, provenance, unknowns, or initial epistemic inventory.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-002	C05	PHASE_SPECIFIC	"[""*""]"	N-GEN-002 (Inclusion and truth remain distinct) received rule-level semantic review for C05. The norm governs protocol, route, planning, branching, invariants, or freeze-before-execution.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-002	C07	PHASE_SPECIFIC	"[""*""]"	N-GEN-002 (Inclusion and truth remain distinct) received rule-level semantic review for C07. The norm governs evidence assessment, research boundary, confidence, counterevidence, or epistemic status.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-002	C08	PHASE_SPECIFIC	"[""*""]"	N-GEN-002 (Inclusion and truth remain distinct) received rule-level semantic review for C08. The norm governs bounded result, representation, instruction, output, or concretization.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-002	PACKAGE_BUILD	SURFACE_SPECIFIC	"[""*""]"	N-GEN-002 (Inclusion and truth remain distinct) received rule-level semantic review for PACKAGE_BUILD. The norm governs package construction, release integrity, or compilation.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-003	ALL_PHASES	ALL_PHASES	"[""*""]"	N-GEN-003 (Preservation of provenance) received rule-level semantic review for ALL_PHASES. The norm is a cross-phase invariant and applies throughout every C00-C11 transition.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-003	C03	PHASE_SPECIFIC	"[""*""]"	N-GEN-003 (Preservation of provenance) received rule-level semantic review for C03. The norm governs source, evidence, provenance, unknowns, or initial epistemic inventory.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-003	C07	PHASE_SPECIFIC	"[""*""]"	N-GEN-003 (Preservation of provenance) received rule-level semantic review for C07. The norm governs evidence assessment, research boundary, confidence, counterevidence, or epistemic status.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-004	C09	PHASE_SPECIFIC	"[""*""]"	N-GEN-004 (Amendment remains explicit) received rule-level semantic review for C09. The norm governs closure candidacy, debts, residual risk, recovery, or state preservation.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-004	PACKAGE_BUILD	SURFACE_SPECIFIC	"[""*""]"	N-GEN-004 (Amendment remains explicit) received rule-level semantic review for PACKAGE_BUILD. The norm governs package construction, release integrity, or compilation.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-005	ALL_PHASES	ALL_PHASES	"[""*""]"	N-GEN-005 (Protection of sentient beings) received rule-level semantic review for ALL_PHASES. The norm is a cross-phase invariant and applies throughout every C00-C11 transition.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-005	C09	PHASE_SPECIFIC	"[""*""]"	N-GEN-005 (Protection of sentient beings) received rule-level semantic review for C09. The norm governs closure candidacy, debts, residual risk, recovery, or state preservation.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-005	C10	PHASE_SPECIFIC	"[""*""]"	N-GEN-005 (Protection of sentient beings) received rule-level semantic review for C10. The norm governs independent review, authority, residual-risk acceptance, or transition to external action.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-005	PACKAGE_BUILD	SURFACE_SPECIFIC	"[""*""]"	N-GEN-005 (Protection of sentient beings) received rule-level semantic review for PACKAGE_BUILD. The norm governs package construction, release integrity, or compilation.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-005	EXTERNAL_ACTION	SURFACE_SPECIFIC	"[""*""]"	N-GEN-005 (Protection of sentient beings) received rule-level semantic review for EXTERNAL_ACTION. The norm governs any route that may affect an external substrate or protected interest.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-006	ALL_PHASES	ALL_PHASES	"[""*""]"	N-GEN-006 (Unconditional protection of humans) received rule-level semantic review for ALL_PHASES. The norm is a cross-phase invariant and applies throughout every C00-C11 transition.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
N-GEN-006	C03	PHASE_SPECIFIC	"[""*""]"	N-GEN-006 (Unconditional protection of humans) received rule-level semantic review for C03. The norm governs source, evidence, provenance, unknowns, or initial epistemic inventory.	CORE-NORMATIVE-OWNER	RULE_LEVEL_SEMANTIC_AUDIT_V2.22
